    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    51     TO_MLA               TT2_JBOG_K2V5_LIST_CHECK            2023-11-06 12:39:02            2023-11-06 12:39:02          00:00:01        pass   
    52     TO_MLA               TT2_JBOG_MX2_CHECK                  2023-11-06 12:39:02            2023-11-06 12:39:18          00:00:16        pass   
    53     TO_MLA               TT2_JBOG_CARD_LIST_CHECK            2023-11-06 12:39:18            2023-11-06 12:39:23          00:00:05        pass   
    54     TO_MLA               IDLE                                2023-11-06 12:39:23            2023-11-06 12:39:24          00:00:01        pass   
    55     TO_MLA               TT2_JBOG_DHCP_CLEAR                 2023-11-06 12:39:24            2023-11-06 12:39:25          00:00:01        pass   
    56     TO_MLA               TT2_SWITCH_BOOTMENU                 2023-11-06 12:39:25            2023-11-06 13:04:42          00:25:17        pass   
    57     TO_MLA               TT2_RAMDISK_LOG_CHECK               2023-11-06 13:04:42            2023-11-06 14:52:13          01:47:31        pass   
    58     TO_MLA               TT2_SWITCH_BOOTMENU                 2023-11-06 14:52:13            2023-11-06 15:17:42          00:25:29        pass   
    59     TO_MLA               IDLE                                2023-11-06 15:17:42            2023-11-06 15:17:43          00:00:01        pass   
    60     TO_END               SFCS_UPLOAD_TIME                    2023-11-06 15:17:43            2023-11-06 15:18:03          00:00:20        pass   
    61     TO_END               SFCS_PASS                           2023-11-06 15:18:03            2023-11-06 15:18:13          00:00:10        pass   
    62     TP_START             SFCS_CHECK_ROUTE                    2023-11-06 15:18:13            2023-11-06 15:18:14          00:00:01        pass   
    63     TP_START             SFCS_UPLOAD_TIME                    2023-11-06 15:18:14            2023-11-06 15:18:24          00:00:10        pass   
    64     TP_FINAL             TT2_JBOG_SMC_HEALTH_CHECK           2023-11-06 15:18:24            2023-11-06 15:18:27          00:00:03        pass   
    65     TP_FINAL             TT2_JBOG_SMC_VER_CHECK              2023-11-06 15:18:27            2023-11-06 15:18:28          00:00:01        pass   
    66     TP_FINAL             TT2_JBOG_CPLD_VER_CHECK             2023-11-06 15:18:28            2023-11-06 15:19:12          00:00:44        pass   
    67     TP_FINAL             TT2_JBOG_PESW_VER_CHECK             2023-11-06 15:19:12            2023-11-06 15:19:24          00:00:12        pass   
    68     TP_FINAL             IDLE                                2023-11-06 15:19:24            2023-11-06 15:19:25          00:00:01        pass   
    69     TP_FINAL             IDLE                                2023-11-06 15:19:25            2023-11-06 15:19:26          00:00:01        pass   
    70     TP_FINAL             TT2_JBOG_K2V5_VER_CHECK             2023-11-06 15:19:26            2023-11-06 15:19:33          00:00:07        pass   
    71     TP_FINAL             TT2_JBOG_CABLE_DETECT               2023-11-06 15:19:33            2023-11-06 15:20:27          00:00:54        pass   
    72     TP_FINAL             TT2_JBOG_RPM_PRESENCE               2023-11-06 15:20:27            2023-11-06 15:20:42          00:00:15        pass   
    73     TP_FINAL             TT2_JBOG_FRU_CHECK                  2023-11-06 15:20:43            2023-11-06 15:20:49          00:00:06        pass   
    74     TP_FINAL             TT2_JBOG_SMC_FRU_CHECK              2023-11-06 15:20:49            2023-11-06 15:20:52          00:00:03        pass   
    75     TP_FINAL             TT2_JBOG_K2V5_FRU_CHECK             2023-11-06 15:20:52            2023-11-06 15:20:56          00:00:04        pass   
    76     TP_FINAL             TT2_JBOG_SMC_MAC_CHECK              2023-11-06 15:20:56            2023-11-06 15:20:57          00:00:01        pass   
    77     TP_FINAL             TT2_JBOG_SMC_POS_CHECK              2023-11-06 15:20:57            2023-11-06 15:20:58          00:00:01        pass   
    78     TP_FINAL             TT2_JBOG_SDR_CHECK                  2023-11-06 15:20:58            2023-11-06 15:20:59          00:00:01        pass   
    79     TP_FINAL             TT2_JBOG_PCIE_BUS_CHECK             2023-11-06 15:20:59            2023-11-06 15:21:03          00:00:04        pass   
    80     TP_FINAL             TT2_JBOG_FAN_CONFIG_CHECK           2023-11-06 15:21:03            2023-11-06 15:21:05          00:00:02        pass   
    81     TP_FINAL             TT2_JBOG_MX2_CHECK                  2023-11-06 15:21:05            2023-11-06 15:21:21          00:00:16        pass   
    82     TP_FINAL             IDLE                                2023-11-06 15:21:21            2023-11-06 15:21:22          00:00:01        pass   
    83     TP_FINAL             TT2_JBOG_K2V5_LIST_CHECK            2023-11-06 15:21:22            2023-11-06 15:21:22          00:00:01        pass   
    84     TP_FINAL             TT2_JBOG_CARD_LIST_CHECK            2023-11-06 15:21:22            2023-11-06 15:21:27          00:00:05        pass   
    85     TP_FINAL             TT2_JBOG_INTERNAL_LAN_CHECK         2023-11-06 15:21:27            2023-11-06 15:22:48          00:01:21        pass   
    86     TP_FINAL             TT2_JBOG_SOL_TEST                   2023-11-06 15:22:48            2023-11-06 15:29:55          00:07:07        pass   
    87     TP_END               SFCS_UPLOAD_TIME                    2023-11-06 15:29:56            2023-11-06 15:30:16          00:00:20        pass   
    88     TP_END               SFCS_PASS                           2023-11-06 15:30:16            2023-11-06 15:30:26          00:00:10        pass   
    89     TP_END               TT2_JBOG_DHCP_CLEAR                 2023-11-06 15:30:27            2023-11-06 15:30:27          00:00:01        pass   
    90     TP_END               TT2_WATS_SEND                       2023-11-06 15:30:27            2023-11-06 15:30:27          00:00:01        pass   




