    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
    91     RDT_AC_CYCLE         YM3_MCE_CHECK                       2023-10-04 10:08:14            2023-10-04 10:08:15          00:00:01        pass   
    92     RDT_AC_CYCLE         YM3_SLED_AC                         2023-10-04 10:08:15            2023-10-04 10:17:15          00:09:00        pass   
    93     RDT_AC_CYCLE         YM3_SEL_CHECK                       2023-10-04 10:17:15            2023-10-04 10:17:15          00:00:01        pass   
    94     RDT_AC_CYCLE         YM3_DMESG_CHECK                     2023-10-04 10:17:15            2023-10-04 10:17:16          00:00:01        pass   
    95     RDT_AC_CYCLE         YM3_MESSAGES_CHECK                  2023-10-04 10:17:16            2023-10-04 10:17:16          00:00:01        pass   
    96     RDT_AC_CYCLE         NETLAKE_SDR_CHECK                   2023-10-04 10:17:16            2023-10-04 10:17:18          00:00:02        pass   
    97     RDT_AC_CYCLE         YM3_MCE_CHECK                       2023-10-04 10:17:18            2023-10-04 10:17:18          00:00:01        pass   
    98     RDT_AC_CYCLE         YM3_SLED_AC                         2023-10-04 10:17:18            2023-10-04 10:26:21          00:09:03        pass   
    99     RDT_AC_CYCLE         YM3_SEL_CHECK                       2023-10-04 10:26:21            2023-10-04 10:26:22          00:00:01        pass   
   100     RDT_AC_CYCLE         YM3_DMESG_CHECK                     2023-10-04 10:26:22            2023-10-04 10:26:22          00:00:01        pass   
   101     RDT_AC_CYCLE         YM3_MESSAGES_CHECK                  2023-10-04 10:26:22            2023-10-04 10:26:22          00:00:01        pass   
   102     RDT_AC_CYCLE         NETLAKE_SDR_CHECK                   2023-10-04 10:26:23            2023-10-04 10:26:24          00:00:01        pass   
   103     RDT_AC_CYCLE         YM3_MCE_CHECK                       2023-10-04 10:26:24            2023-10-04 10:26:25          00:00:01        pass   
   104     RDT_LOG_CHECK        YM3_MCE_CHECK                       2023-10-04 10:26:25            2023-10-04 10:26:25          00:00:01        pass   
   105     RDT_LOG_CHECK        YM3_DMESG_CHECK                     2023-10-04 10:26:25            2023-10-04 10:26:26          00:00:01        pass   
   106     RDT_LOG_CHECK        YM3_MESSAGES_CHECK                  2023-10-04 10:26:26            2023-10-04 10:26:26          00:00:01        pass   
   107     RDT_LOG_CHECK        YM3_SEL_CHECK                       2023-10-04 10:26:26            2023-10-04 10:26:26          00:00:01        pass   
   108     RDT_LOG_CHECK        NETLAKE_SDR_CHECK                   2023-10-04 10:26:26            2023-10-04 10:26:28          00:00:02        pass   
   109     RDT_LOG_CHECK        YM_SEL_CLEAR                        2023-10-04 10:26:28            2023-10-04 10:26:29          00:00:01        pass   
   110     RDT_SHC_TEST         NETLAKE_INTEL_SHC_TEST              2023-10-04 10:26:29            2023-10-04 11:30:38          01:04:09        pass   
   111     RDT_SHC_TEST         YM3_SEL_CHECK                       2023-10-04 11:30:38            2023-10-04 11:30:38          00:00:01        pass   
   112     RDT_SHC_TEST         YM3_DMESG_CHECK                     2023-10-04 11:30:38            2023-10-04 11:30:39          00:00:01        pass   
   113     RDT_SHC_TEST         YM3_MESSAGES_CHECK                  2023-10-04 11:30:39            2023-10-04 11:30:39          00:00:01        pass   
   114     RDT_SHC_TEST         NETLAKE_SDR_CHECK                   2023-10-04 11:30:39            2023-10-04 11:30:41          00:00:02        pass   
   115     RDT_SHC_TEST         YM3_MCE_CHECK                       2023-10-04 11:30:41            2023-10-04 11:30:41          00:00:01        pass   
   116     RDT_SHC_TEST         YM_SEL_CLEAR                        2023-10-04 11:30:41            2023-10-04 11:30:42          00:00:01        pass   
   117     RDT_PTU              YM3_PTUGEN                          2023-10-04 11:30:42            2023-10-04 12:32:22          01:01:40        pass   
   118     RDT_PTU              YM3_SEL_CHECK                       2023-10-04 12:32:22            2023-10-04 12:32:23          00:00:01        pass   
   119     RDT_PTU              YM3_DMESG_CHECK                     2023-10-04 12:32:23            2023-10-04 12:32:23          00:00:01        pass   
   120     RDT_PTU              YM3_MESSAGES_CHECK                  2023-10-04 12:32:23            2023-10-04 12:32:24          00:00:01        pass   
   121     RDT_PTU              NETLAKE_SDR_CHECK                   2023-10-04 12:32:24            2023-10-04 12:32:25          00:00:01        pass   
   122     RDT_PTU              YM3_MCE_CHECK                       2023-10-04 12:32:25            2023-10-04 12:32:26          00:00:01        pass   
   123     RDT_PTU              YM_SEL_CLEAR                        2023-10-04 12:32:26            2023-10-04 12:32:27          00:00:01        pass   
   124     RDT_MEMSTRESS        YM3_STRESSAPPTEST                   2023-10-04 12:32:27            2023-10-04 14:03:05          01:30:38        pass   
   125     RDT_MEMSTRESS        YM3_SEL_CHECK                       2023-10-04 14:03:05            2023-10-04 14:03:06          00:00:01        pass   
   126     RDT_MEMSTRESS        YM3_DMESG_CHECK                     2023-10-04 14:03:06            2023-10-04 14:03:06          00:00:01        pass   
   127     RDT_MEMSTRESS        YM3_MESSAGES_CHECK                  2023-10-04 14:03:06            2023-10-04 14:03:07          00:00:01        pass   
   128     RDT_MEMSTRESS        NETLAKE_SDR_CHECK                   2023-10-04 14:03:07            2023-10-04 14:03:08          00:00:01        pass   
   129     RDT_MEMSTRESS        YM3_MCE_CHECK                       2023-10-04 14:03:08            2023-10-04 14:03:09          00:00:01        pass   
